index,dataset,n_keys,mean_ns,median_ns,p99_ns,throughput_mops,build_ms,memory_bytes
PGM(ref),Books,100000,71.91,100.00,100.00,9.62,2.55,1600200
NLI-Full,Books,100000,82.93,100.00,200.00,8.68,0.91,1622472
NLI-Linear,Books,100000,86.45,100.00,200.00,8.46,2.06,1602232
NLI-NoDrift,Books,100000,82.23,100.00,200.00,8.73,0.80,1622472
NLI-NoRepair,Books,100000,86.70,100.00,200.00,8.36,0.79,1622472
NLI-NoPW,Books,100000,89.60,100.00,200.00,8.24,1.59,1606432
NLI-NoSRLM2,Books,100000,84.56,100.00,200.00,8.51,0.85,1622472
NLI-NoBTSC,Books,100000,88.18,100.00,200.00,8.30,0.50,1622472
NLI-NoRCO,Books,100000,84.91,100.00,200.00,8.55,0.99,1622472
PGM(ref),Books,1000000,129.74,100.00,400.00,6.23,24.99,16001128
NLI-Full,Books,1000000,222.32,200.00,600.00,3.90,9.40,16230352
NLI-Linear,Books,1000000,228.54,200.00,600.00,3.84,19.98,16015912
NLI-NoDrift,Books,1000000,226.46,200.00,600.00,3.81,9.53,16230352
NLI-NoRepair,Books,1000000,215.20,200.00,600.00,4.04,8.96,16230352
NLI-NoPW,Books,1000000,234.56,200.00,600.00,3.69,17.25,16060912
NLI-NoSRLM2,Books,1000000,209.63,200.00,600.00,4.14,8.76,16230352
NLI-NoBTSC,Books,1000000,231.32,200.00,600.00,3.77,6.68,16230352
NLI-NoRCO,Books,1000000,216.25,200.00,600.00,4.03,8.81,16230352
PGM(ref),Facebook,100000,86.16,100.00,100.00,8.54,3.48,1604384
NLI-Full,Facebook,100000,103.06,100.00,200.00,7.46,0.96,1714512
NLI-Linear,Facebook,100000,107.20,100.00,200.00,7.22,1.66,1614232
NLI-NoDrift,Facebook,100000,107.33,100.00,200.00,7.16,0.96,1714512
NLI-NoRepair,Facebook,100000,108.53,100.00,200.00,7.07,1.02,1714512
NLI-NoPW,Facebook,100000,109.21,100.00,200.00,6.99,1.12,1614232
NLI-NoSRLM2,Facebook,100000,104.79,100.00,200.00,7.31,0.96,1714512
NLI-NoBTSC,Facebook,100000,111.77,100.00,200.00,6.95,0.55,1714512
NLI-NoRCO,Facebook,100000,104.48,100.00,200.00,7.38,0.97,1714512
PGM(ref),Facebook,1000000,157.96,100.00,500.00,5.28,36.47,16042336
NLI-Full,Facebook,1000000,256.19,200.00,600.00,3.45,11.58,17139992
NLI-Linear,Facebook,1000000,232.47,200.00,600.00,3.80,15.80,16066872
NLI-NoDrift,Facebook,1000000,254.33,200.00,600.00,3.47,11.67,17139992
NLI-NoRepair,Facebook,1000000,265.22,200.00,700.00,3.35,11.86,17139992
NLI-NoPW,Facebook,1000000,295.67,300.00,700.00,3.04,10.77,16066872
NLI-NoSRLM2,Facebook,1000000,253.03,200.00,600.00,3.48,11.84,17139992
NLI-NoBTSC,Facebook,1000000,264.12,200.00,700.00,3.36,6.88,17139992
NLI-NoRCO,Facebook,1000000,250.73,200.00,600.00,3.52,11.57,17139992
PGM(ref),WikiTS,100000,88.63,100.00,100.00,8.30,3.51,1601904
NLI-Full,WikiTS,100000,100.92,100.00,200.00,7.53,0.94,1655752
NLI-Linear,WikiTS,100000,109.05,100.00,200.00,7.11,1.88,1613392
NLI-NoDrift,WikiTS,100000,96.06,100.00,200.00,7.83,0.91,1655752
NLI-NoRepair,WikiTS,100000,95.08,100.00,200.00,7.90,0.85,1655752
NLI-NoPW,WikiTS,100000,105.26,100.00,200.00,7.27,1.35,1613392
NLI-NoSRLM2,WikiTS,100000,100.15,100.00,200.00,7.60,0.85,1655752
NLI-NoBTSC,WikiTS,100000,99.90,100.00,200.00,7.57,0.77,1655752
NLI-NoRCO,WikiTS,100000,100.53,100.00,200.00,7.53,0.87,1655752
PGM(ref),WikiTS,1000000,141.73,100.00,500.00,5.75,35.21,16013904
NLI-Full,WikiTS,1000000,235.07,200.00,600.00,3.72,9.80,16418752
NLI-Linear,WikiTS,1000000,238.98,200.00,600.00,3.69,17.43,16043592
NLI-NoDrift,WikiTS,1000000,236.74,200.00,600.00,3.70,9.61,16418752
NLI-NoRepair,WikiTS,1000000,240.57,200.00,600.00,3.64,9.81,16418752
NLI-NoPW,WikiTS,1000000,242.47,200.00,600.00,3.64,12.65,16043632
NLI-NoSRLM2,WikiTS,1000000,305.25,300.00,800.00,2.96,9.57,16418752
NLI-NoBTSC,WikiTS,1000000,234.24,200.00,600.00,3.73,6.91,16418752
NLI-NoRCO,WikiTS,1000000,226.85,200.00,600.00,3.86,9.81,16418752
