dataset,n_keys,drift_type,drift_detected,detection_query,true_drift_start,detection_delay,psi_at_detection,ewma_at_detection,repair_time_ms,mean_ns_pre_drift,mean_ns_during_drift,mean_ns_post_repair,p99_ns_pre_drift,p99_ns_during_drift,p99_ns_post_repair,throughput_pre,throughput_during,throughput_post,mean_err_pre_drift,mean_err_during_drift,mean_err_post_repair,mean_ns_post_clean,p99_ns_post_clean,throughput_post_clean,mean_err_post_clean,is_false_positive,is_false_negative
Books,100100,Stable,0,-1,-1,0,0.000,0.000,0.000,84.611,95.888,84.611,200.000,200.000,200.000,11.819,10.429,11.819,2.817,2.820,0.000,0.000,0.000,0.000,0.000,0,0
Books,100100,Gradual,1,215727,200000,15727,50.105,5.184,0.693,77.173,119.049,97.400,100.000,200.000,200.000,12.958,8.400,10.267,2.817,2.812,2.795,114.326,200.000,8.747,2.807,0,0
Books,100100,Sudden_25pct,1,200079,200000,79,51.935,4.934,0.668,78.372,8437.500,101.963,200.000,140717.000,200.000,12.760,0.119,9.807,2.817,2.970,2.809,82.113,200.000,12.178,2.806,0,0
Books,100100,Sudden_50pct,1,200031,200000,31,52.373,4.917,0.665,83.799,20843.750,281.380,200.000,459119.000,100.000,11.933,0.048,3.554,2.817,0.000,0.000,90.803,200.000,11.013,2.805,0,0
Books,100100,Mixed,1,250031,200000,50031,52.369,5.277,0.672,80.545,92.002,200.221,200.000,300.000,200.000,12.415,10.869,4.994,2.817,2.820,2.804,92.083,200.000,10.860,2.805,0,0
Facebook,100100,Stable,0,-1,-1,0,0.000,0.000,0.000,113.506,110.336,113.506,200.000,200.000,200.000,8.810,9.063,8.810,2.986,3.012,0.000,0.000,0.000,0.000,0.000,0,0
Facebook,100100,Gradual,1,212831,200000,12831,59.239,5.420,1.272,110.117,217.791,342.054,200.000,200.000,200.000,9.081,4.592,2.924,2.986,3.002,2.999,122.659,200.000,8.153,2.987,0,0
Facebook,100100,Sudden_25pct,1,200159,200000,159,64.287,6.047,1.205,110.536,7633.125,443.281,200.000,241.000,300.000,9.047,0.131,2.256,2.986,3.105,3.000,111.005,200.000,9.009,2.987,0,0
Facebook,100100,Sudden_50pct,1,200031,200000,31,52.058,5.733,1.129,107.116,35334.375,385.372,200.000,778903.000,100.000,9.336,0.028,2.595,2.986,0.000,0.000,125.421,300.000,7.973,2.986,0,0
Facebook,100100,Mixed,1,250031,200000,50031,55.009,6.086,1.107,117.453,105.036,269.816,300.000,200.000,200.000,8.514,9.521,3.706,2.986,3.012,2.979,122.621,300.000,8.155,2.986,0,0
WikiTS,100100,Stable,0,-1,-1,0,0.000,0.000,0.000,105.528,102.352,105.528,200.000,200.000,200.000,9.476,9.770,9.476,2.885,2.893,0.000,0.000,0.000,0.000,0.000,0,0
WikiTS,100100,Gradual,1,217983,200000,17983,58.817,5.698,0.862,99.666,144.117,232.653,200.000,200.000,200.000,10.034,6.939,4.298,2.885,2.905,2.903,115.608,300.000,8.650,2.911,0,0
WikiTS,100100,Sudden_25pct,1,200095,200000,95,50.623,5.219,0.851,99.762,8944.792,379.719,200.000,42750.000,300.000,10.024,0.112,2.634,2.885,2.831,2.905,110.721,300.000,9.032,2.912,0,0
WikiTS,100100,Sudden_50pct,1,200031,200000,31,52.207,5.377,3.182,111.156,99650.000,425.637,400.000,2196080.000,200.000,8.996,0.010,2.349,2.885,0.000,0.000,117.791,300.000,8.490,2.912,0,0
WikiTS,100100,Mixed,1,250031,200000,50031,56.305,5.790,1.126,103.039,100.858,230.776,200.000,200.000,200.000,9.705,9.915,4.333,2.885,2.893,2.903,124.699,300.000,8.019,2.912,0,0
Books,700000,Stable,0,-1,-1,0,0.000,0.000,0.000,205.539,191.576,205.539,600.000,600.000,600.000,4.865,5.220,4.865,2.789,2.801,0.000,0.000,0.000,0.000,0.000,0,0
Books,700000,Gradual,1,212831,200000,12831,50.230,5.296,4.085,206.710,528.374,1443.959,600.000,600.000,600.000,4.838,1.893,0.693,2.789,2.778,2.800,258.860,600.000,3.863,2.788,0,0
Books,700000,Sudden_25pct,1,200159,200000,159,69.281,5.952,4.364,205.226,27437.500,2126.201,600.000,582.000,600.000,4.873,0.036,0.470,2.789,2.919,2.793,235.464,600.000,4.247,2.788,0,0
Books,700000,Sudden_50pct,1,200031,200000,31,52.457,5.375,4.145,215.058,129590.625,1872.636,600.000,2860388.000,100.000,4.650,0.008,0.534,2.789,0.000,0.000,266.699,600.000,3.750,2.787,0,0
Books,700000,Mixed,1,250031,200000,50031,52.441,5.335,4.354,227.079,214.918,1098.644,600.000,600.000,500.000,4.404,4.653,0.910,2.789,2.801,2.783,251.537,600.000,3.976,2.787,0,0
Facebook,700000,Stable,0,-1,-1,0,0.000,0.000,0.000,234.894,239.070,234.894,600.000,600.000,600.000,4.257,4.183,4.257,3.005,2.989,0.000,0.000,0.000,0.000,0.000,0,0
Facebook,700000,Gradual,1,217983,200000,17983,75.305,6.484,2.413,232.914,382.857,2078.310,600.000,600.000,600.000,4.293,2.612,0.481,3.005,2.989,2.985,305.959,600.000,3.268,2.992,0,0
Facebook,700000,Sudden_25pct,1,200159,200000,159,72.959,5.750,2.306,232.545,14595.000,2832.349,600.000,600.000,600.000,4.300,0.069,0.353,3.005,2.556,2.988,248.784,600.000,4.020,2.991,0,0
