Dataset,n_keys,Scenario,Stage,Latency_ns,P99_ns,Throughput_Mops,Error_mean_abs
Books,100100,Gradual,Pre-drift,77.173,100.000,12.9579,2.8169
Books,100100,Gradual,During-drift,119.049,200.000,8.3999,2.8119
Books,100100,Gradual,After-repair,97.400,200.000,10.2669,2.7949
Books,100100,Gradual,After-repair (clean),114.326,200.000,8.7469,2.8070
Books,100100,Sudden 25pct,Pre-drift,78.372,200.000,12.7597,2.8169
Books,100100,Sudden 25pct,During-drift,8437.500,140717.000,0.1185,2.9697
Books,100100,Sudden 25pct,After-repair,101.963,200.000,9.8075,2.8085
Books,100100,Sudden 25pct,After-repair (clean),82.113,200.000,12.1783,2.8056
Books,100100,Sudden 50pct,Pre-drift,83.799,200.000,11.9333,2.8169
Books,100100,Sudden 50pct,During-drift,20843.750,459119.000,0.0480,0.0000
Books,100100,Sudden 50pct,After-repair,281.380,100.000,3.5539,0.0000
Books,100100,Sudden 50pct,After-repair (clean),90.803,200.000,11.0129,2.8049
Books,100100,Mixed,Pre-drift,80.545,200.000,12.4154,2.8169
Books,100100,Mixed,During-drift,92.002,300.000,10.8693,2.8202
Books,100100,Mixed,After-repair,200.221,200.000,4.9945,2.8038
Books,100100,Mixed,After-repair (clean),92.083,200.000,10.8598,2.8049
Facebook,100100,Gradual,Pre-drift,110.117,200.000,9.0812,2.9863
Facebook,100100,Gradual,During-drift,217.791,200.000,4.5915,3.0022
Facebook,100100,Gradual,After-repair,342.054,200.000,2.9235,2.9991
Facebook,100100,Gradual,After-repair (clean),122.659,200.000,8.1527,2.9868
Facebook,100100,Sudden 25pct,Pre-drift,110.536,200.000,9.0468,2.9863
Facebook,100100,Sudden 25pct,During-drift,7633.125,241.000,0.1310,3.1048
Facebook,100100,Sudden 25pct,After-repair,443.281,300.000,2.2559,3.0005
Facebook,100100,Sudden 25pct,After-repair (clean),111.005,200.000,9.0086,2.9865
Facebook,100100,Sudden 50pct,Pre-drift,107.116,200.000,9.3357,2.9863
Facebook,100100,Sudden 50pct,During-drift,35334.375,778903.000,0.0283,0.0000
Facebook,100100,Sudden 50pct,After-repair,385.372,100.000,2.5949,0.0000
Facebook,100100,Sudden 50pct,After-repair (clean),125.421,300.000,7.9731,2.9863
Facebook,100100,Mixed,Pre-drift,117.453,300.000,8.5140,2.9863
Facebook,100100,Mixed,During-drift,105.036,200.000,9.5205,3.0123
Facebook,100100,Mixed,After-repair,269.816,200.000,3.7062,2.9786
Facebook,100100,Mixed,After-repair (clean),122.621,300.000,8.1552,2.9863
WikiTS,100100,Gradual,Pre-drift,99.666,200.000,10.0335,2.8854
WikiTS,100100,Gradual,During-drift,144.117,200.000,6.9388,2.9053
WikiTS,100100,Gradual,After-repair,232.653,200.000,4.2982,2.9031
WikiTS,100100,Gradual,After-repair (clean),115.608,300.000,8.6499,2.9113
WikiTS,100100,Sudden 25pct,Pre-drift,99.762,200.000,10.0239,2.8854
WikiTS,100100,Sudden 25pct,During-drift,8944.792,42750.000,0.1118,2.8312
WikiTS,100100,Sudden 25pct,After-repair,379.719,300.000,2.6335,2.9047
WikiTS,100100,Sudden 25pct,After-repair (clean),110.721,300.000,9.0317,2.9118
WikiTS,100100,Sudden 50pct,Pre-drift,111.156,400.000,8.9964,2.8854
WikiTS,100100,Sudden 50pct,During-drift,99650.000,2196080.000,0.0100,0.0000
WikiTS,100100,Sudden 50pct,After-repair,425.637,200.000,2.3494,0.0000
WikiTS,100100,Sudden 50pct,After-repair (clean),117.791,300.000,8.4896,2.9117
WikiTS,100100,Mixed,Pre-drift,103.039,200.000,9.7051,2.8854
WikiTS,100100,Mixed,During-drift,100.858,200.000,9.9149,2.8931
WikiTS,100100,Mixed,After-repair,230.776,200.000,4.3332,2.9029
WikiTS,100100,Mixed,After-repair (clean),124.699,300.000,8.0193,2.9117
Books,700000,Gradual,Pre-drift,206.710,600.000,4.8377,2.7893
Books,700000,Gradual,During-drift,528.374,600.000,1.8926,2.7784
Books,700000,Gradual,After-repair,1443.959,600.000,0.6925,2.8002
Books,700000,Gradual,After-repair (clean),258.860,600.000,3.8631,2.7879
Books,700000,Sudden 25pct,Pre-drift,205.226,600.000,4.8727,2.7893
Books,700000,Sudden 25pct,During-drift,27437.500,582.000,0.0364,2.9194
Books,700000,Sudden 25pct,After-repair,2126.201,600.000,0.4703,2.7929
Books,700000,Sudden 25pct,After-repair (clean),235.464,600.000,4.2469,2.7876
Books,700000,Sudden 50pct,Pre-drift,215.058,600.000,4.6499,2.7893
Books,700000,Sudden 50pct,During-drift,129590.625,2860388.000,0.0077,0.0000
Books,700000,Sudden 50pct,After-repair,1872.636,100.000,0.5340,0.0000
Books,700000,Sudden 50pct,After-repair (clean),266.699,600.000,3.7495,2.7874
Books,700000,Mixed,Pre-drift,227.079,600.000,4.4038,2.7893
Books,700000,Mixed,During-drift,214.918,600.000,4.6529,2.8011
Books,700000,Mixed,After-repair,1098.644,500.000,0.9102,2.7826
Books,700000,Mixed,After-repair (clean),251.537,600.000,3.9756,2.7874
Facebook,700000,Gradual,Pre-drift,232.914,600.000,4.2934,3.0048
Facebook,700000,Gradual,During-drift,382.857,600.000,2.6119,2.9889
Facebook,700000,Gradual,After-repair,2078.310,600.000,0.4812,2.9848
Facebook,700000,Gradual,After-repair (clean),305.959,600.000,3.2684,2.9918
Facebook,700000,Sudden 25pct,Pre-drift,232.545,600.000,4.3002,3.0048
Facebook,700000,Sudden 25pct,During-drift,14595.000,600.000,0.0685,2.5565
Facebook,700000,Sudden 25pct,After-repair,2832.349,600.000,0.3531,2.9881
Facebook,700000,Sudden 25pct,After-repair (clean),248.784,600.000,4.0196,2.9914
Facebook,700000,Sudden 50pct,Pre-drift,234.927,600.000,4.2566,3.0048
Facebook,700000,Sudden 50pct,During-drift,69496.875,1533311.000,0.0144,0.0000
Facebook,700000,Sudden 50pct,After-repair,2719.795,100.000,0.3677,0.0000
Facebook,700000,Sudden 50pct,After-repair (clean),354.492,900.000,2.8209,2.9914
Facebook,700000,Mixed,Pre-drift,259.765,600.000,3.8496,3.0048
Facebook,700000,Mixed,During-drift,244.706,600.000,4.0865,2.9895
Facebook,700000,Mixed,After-repair,1459.498,600.000,0.6852,3.0100
